,Target Location,Time Zone (text),Home Team (text),Opponent (text),Game Time EST (text),Game Day (text),Game Time Actual (text),Week (text),Criteria ID
0,10001,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004056
1,10002,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004057
2,10003,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004058
3,10004,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004059
4,10005,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004060
5,10006,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004061
6,10007,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004062
7,10009,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004063
8,10010,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004064
9,10011,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004065
10,10012,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004066
11,10013,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004067
12,10014,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004068
13,10016,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004069
14,10017,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004070
15,10018,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004071
16,10019,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004072
17,10020,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004073
18,10021,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004074
19,10022,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004075
20,10023,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004076
21,10024,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004077
22,10025,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004078
23,10026,EST,New York,Philadelphia,08:20PM,Tomorrow,08:20PM,Week 6,9004079
