,Target Location,Time Zone (text),Home Team (text),Opponent (text),Game Time EST (text),Game Day (text),Game Time Actual (text),Week (text),Criteria ID
0,12008,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004599
1,12017,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004603
2,12018,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004604
3,12022,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004607
4,12024,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004609
5,12028,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004612
6,12029,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004613
7,12031,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9054859
8,12033,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004615
9,12035,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004616
10,12036,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004617
11,12037,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004618
12,12040,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9054863
13,12043,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004621
14,12052,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004626
15,12053,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004627
16,12056,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004629
17,12060,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004633
18,12061,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004634
19,12062,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004635
20,12063,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004636
21,12064,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004637
22,12071,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004644
23,12075,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004647
24,12076,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004648
25,12089,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004656
26,12090,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004657
27,12092,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004658
28,12093,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004659
29,12094,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004660
30,12106,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004662
31,12108,EST,Buffalo,Houston,01:00PM,Sunday,01:00PM,Week 6,9004663
32,12115,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004665
33,12116,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004666
34,12121,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004670
35,12122,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004671
36,12123,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004672
37,12125,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004674
38,12130,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004675
39,12131,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004676
40,12132,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9054854
41,12136,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004678
42,12137,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004679
43,12138,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004680
44,12139,EST,Buffalo,Houston,01:00PM,Sunday,01:00PM,Week 6,9004681
45,12140,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004682
46,12144,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004684
47,12149,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004687
48,12150,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004688
49,12153,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004690
50,12154,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004691
51,12155,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004692
52,12156,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004693
53,12157,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004694
54,12160,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004697
55,12164,EST,Buffalo,Houston,01:00PM,Sunday,01:00PM,Week 6,9004698
56,12165,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004699
57,12168,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004702
58,12169,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004703
59,12172,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9054849
60,12173,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004705
61,12174,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004706
62,12175,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004707
63,12180,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004710
64,12182,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004711
65,12184,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004713
66,12185,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004714
67,12187,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004716
68,12190,EST,Buffalo,Houston,01:00PM,Sunday,01:00PM,Week 6,9004719
69,12194,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004722
70,12196,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004723
71,12197,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004724
72,12198,EST,New England,Kansas City,08:20PM,Sunday,08:20PM,Week 6,9004725
73,12302,EST,NY,Indianapolis,01:00PM,Sunday,01:00PM,Week 6,9004739
